uuid,product,region,technology,technology_classification,annual_production_capacity,annual_production_volume,cuf,year_commissioned,asset_lifetime,retrofit_status,rebuild_status,greenfield_status,stay_same_status
bd54216439b94e6990c932a81a10dd9d,Aluminium,Russia,Carbon Anode + Hydro,transition,0.422,0.422,1.0,1962,60,False,False,False,False
a454831aa77e431d9b12b440d6660751,Aluminium,Russia,Carbon Anode + Grid,transition,0.076,0.06992,0.92,1951,0,False,False,False,False
84e4055a7ec243689a980f5397d4b8c2,Aluminium,Russia,Carbon Anode + Hydro,transition,0.297,0.30888,1.04,2006,60,False,False,False,False
08e3c0d2259c4d4b90d815a2f2ed9387,Aluminium,Russia,Carbon Anode + Hydro,transition,1.019,1.019,1.0,1964,60,False,False,False,False
5ec18232a93d4ac1a95400f2ceac290f,Aluminium,Russia,Carbon Anode + Grid,transition,0.215,0.215,1.0,1943,0,False,False,False,False
15d1ffd49909460b9f7f936656e4b194,Aluminium,Russia,Carbon Anode + Hydro,transition,0.542,0.5311600000000001,0.98,1985,60,False,False,False,False
b5baba61543e48f7a442b49b9fbe17fc,Aluminium,Russia,Carbon Anode + Hydro,transition,0.429,0.40754999999999997,0.95,2021,60,False,False,False,False
3e8f2bb12fb44d308d398688382af503,Aluminium,Russia,Carbon Anode + Grid,transition,0.075,0.0,0.0,1939,0,False,False,False,False
1aaa1f15ae4f45d7919694fc7eacdac5,Aluminium,Russia,Carbon Anode + PPA+Grid,transition,0.069,0.06969,1.01,1959,0,False,False,False,False
69b7be53930a4ead8bd9ef30d150242c,Aluminium,Middle East,Carbon Anode + Grid,transition,0.78,0.79599,1.0205,2012,0,False,False,False,False
