product,technology,year,region,annual_production_capacity,capacity_factor
Ammonia,Biomass Digestion + ammonia synthesis,2041,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2041,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2041,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2041,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2042,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Europe,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,India,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Latin America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Middle East,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,North America,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Oceania,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Rest of Asia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2043,Russia,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Africa,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,China,10,0.95
Ammonia,Biomass Digestion + ammonia synthesis,2044,Europe,10,0.95
