product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Alumina,Oil-Boiler + Gas-Calciner,US,2020,0.779941,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,Oceania,2020,0.786865,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,Rest of Asia,2020,0.846924,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,Russia,2020,1.031618,,0,,,
Alumina,Oil-Boiler + Gas-Calciner,South America,2020,0.622944,,0,,,
Alumina,Oil-Boiler + H2-Calciner,Africa,2020,0.6666,,0,,,
Alumina,Oil-Boiler + H2-Calciner,China - Central,2020,0.613049,,0,,,
Alumina,Oil-Boiler + H2-Calciner,China - East,2020,0.613049,,0,,,
Alumina,Oil-Boiler + H2-Calciner,China - North,2020,0.613049,,0,,,
Alumina,Oil-Boiler + H2-Calciner,China - North East,2020,0.613049,,0,,,
Alumina,Oil-Boiler + H2-Calciner,China - North West,2020,0.613049,,0,,,
Alumina,Oil-Boiler + H2-Calciner,China - South,2020,0.613049,,0,,,
Alumina,Oil-Boiler + H2-Calciner,Rest of Europe,2020,0.811969,,0,,,
Alumina,Oil-Boiler + H2-Calciner,Middle East,2020,0.623298,,0,,,
