product,technology_origin,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Ammonia,Biomass Digestion + ammonia synthesis,2048,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2048,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2049,Russia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Africa,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,China,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Europe,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,India,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Latin America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Middle East,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,North America,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Oceania,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Digestion + ammonia synthesis,2050,Russia,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Africa,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,China,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Europe,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,India,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Latin America,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Middle East,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,North America,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Oceania,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2020,Russia,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Africa,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,China,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Europe,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,India,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Latin America,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Middle East,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,North America,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Oceania,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Rest of Asia,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2021,Russia,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2022,Africa,0,0,0,0,0
Ammonia,Biomass Gasification + ammonia synthesis,2022,China,0,0,0,0,0
