,product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
204,Alumina,Elec-Boiler + Elec-Calciner,Russia,20,0.06,end-state,,2030,,2020
205,Alumina,Elec-Boiler + Gas-Calciner,Russia,25,0.06,transition,,2020,,2020
206,Alumina,Elec-Boiler + Oil-Calciner,Russia,25,0.06,transition,,2020,,2020
207,Alumina,Elec-Boiler + H2-Calciner,Russia,25,0.06,end-state,,2030,,2020
208,Alumina,H2-Boiler + Elec-Calciner,Russia,20,0.06,end-state,,2030,,2020
209,Alumina,H2-Boiler + Gas-Calciner,Russia,25,0.06,transition,,2027,,2020
210,Alumina,H2-Boiler + Oil-Calciner,Russia,25,0.06,transition,,2027,,2020
211,Alumina,H2-Boiler + H2-Calciner,Russia,25,0.06,end-state,,2030,,2020
212,Alumina,MVR-Fossil-Boiler + Elec-Calciner,Russia,20,0.06,end-state,,2030,,2020
213,Alumina,MVR-Fossil-Boiler + Gas-Calciner,Russia,25,0.06,transition,,2027,,2020
214,Alumina,MVR-Fossil-Boiler + Oil-Calciner,Russia,25,0.06,transition,,2027,,2020
215,Alumina,MVR-Fossil-Boiler + H2-Calciner,Russia,25,0.06,end-state,,2030,,2020
216,Alumina,Gas-Boiler + Elec-Calciner,Rest of Europe,20,0.06,transition,,2030,,2020
217,Alumina,Gas-Boiler + Gas-Calciner,Rest of Europe,25,0.06,initial,,2020,,2020
218,Alumina,Gas-Boiler + Oil-Calciner,Rest of Europe,25,0.06,initial,,2020,,2020
219,Alumina,Gas-Boiler + H2-Calciner,Rest of Europe,25,0.06,transition,,2030,,2020
220,Alumina,Oil-Boiler + Elec-Calciner,Rest of Europe,20,0.06,transition,,2030,,2020
221,Alumina,Oil-Boiler + Gas-Calciner,Rest of Europe,25,0.06,initial,,2020,,2020
222,Alumina,Oil-Boiler + Oil-Calciner,Rest of Europe,25,0.06,initial,,2020,,2020
223,Alumina,Oil-Boiler + H2-Calciner,Rest of Europe,25,0.06,transition,,2030,,2020
224,Alumina,Coal-Boiler + Elec-Calciner,Rest of Europe,20,0.06,transition,,2030,,2020
225,Alumina,Coal-Boiler + Gas-Calciner,Rest of Europe,25,0.06,initial,,2020,,2020
