product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Inert Anode + Natural Gas+CCS,Middle East,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,Middle East,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Middle East,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,US,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,US,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,US,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,US,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,US,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,US,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,US,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,US,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,US,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,US,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,US,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,US,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,US,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,US,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,US,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,US,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,US,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,US,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,US,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,US,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,US,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,US,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,Oceania,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,Oceania,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,Oceania,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,Oceania,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,Oceania,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,Oceania,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,Oceania,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Oceania,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Oceania,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,Oceania,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,Oceania,30,9%,transition,,2030,,2020
