product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode+CCS + Hydro,North America,60,0.05,end-state,,2030,,2021
Aluminium,Carbon Anode + PPA+Grid,North America,70,0.05,transitional,,2020,,2021
Aluminium,Carbon Anode + Hydro,North America,60,0.05,transitional,,2020,,2021
Aluminium,Carbon Anode + Natural gas,Oceania,30,0.07,initial,,2020,,2021
Aluminium,Carbon Anode + Grid,Oceania,70,0.05,transitional,,2020,,2021
Aluminium,Carbon Anode + Coal,Oceania,30,0.07,initial,,2020,,2021
Aluminium,Carbon Anode+CCS + Hydro,Oceania,60,0.05,end-state,,2030,,2021
Aluminium,Carbon Anode + PPA+Grid,Oceania,70,0.05,transitional,,2020,,2021
Aluminium,Carbon Anode + Hydro,Oceania,60,0.05,transitional,,2020,,2021
Aluminium,Carbon Anode + Natural gas,Rest of Asia,30,0.07,initial,,2020,,2021
Aluminium,Carbon Anode + Grid,Rest of Asia,70,0.05,transitional,,2020,,2021
Aluminium,Carbon Anode + Coal,Rest of Asia,30,0.07,initial,,2020,,2021
Aluminium,Carbon Anode+CCS + Hydro,Rest of Asia,60,0.05,end-state,,2030,,2021
